id,nombre,cantidad,serie,origen,origen_id,fecha_adquisicion,precio,categoria_id,dependencia_id,almacenamiento_id,estado_id,mantenimiento_id,observaciones,deleted_at,created_at,updated_at
1,Escritorio,2,0,-,1,2025-06-04,100000.00,1,1,2,3,2,"Una observacion",,"2026-06-11 11:20:58","2026-06-11 20:44:06"
2,"Silla Rimax",2,0,-,1,1990-01-01,10000.00,5,1,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
3,Vitrina,1,0,-,1,1990-01-01,0.00,1,1,1,4,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
4,Congelador,1,0,"Comodato Cremhelado",7,1990-01-01,0.00,24,2,1,3,2,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
5,Exhibidor,3,0,"Propiedad De Fritolay",7,1990-01-01,0.00,24,2,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
6,Exhibidor,2,0,Institucional,2,1990-01-01,0.00,24,2,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
7,Nevera,1,0,"Comodato Postobón",7,1990-01-01,0.00,24,2,1,2,1,"Propiedad De Postobón.",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
8,Nevera,1,0,"Comodato Cocacola",7,1990-01-01,0.00,24,2,1,2,1,"Propiedad De Cocacola",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
9,Extensión,1,0,Institucional,2,2021-05-24,357142.00,26,3,1,1,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
10,Hidrolavadora,1,0,Institucional,2,2021-05-24,3193280.00,22,3,1,1,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
11,Maguera,1,0,Institucional,2,2021-05-24,840337.00,22,3,1,1,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
12,"Silla Rimax",2,0,-,1,1990-01-01,10000.00,1,3,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
13,Bafle,1,0,-,1,1990-01-01,0.00,6,5,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
14,"Teatro En Casa",1,0,Institucional,2,2021-11-16,490000.00,7,109,1,1,1,"S1 A317 (Gimnasio)",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
15,"Teatro En Casa",1,0,Institucional,2,2021-11-16,490000.00,7,132,1,1,1,"2025-02-06  S2 A205 (Aula Catalina Cardona)",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
16,Televisor,1,0,Institucional,2,2021-11-16,2800000.00,7,47,2,1,1,"S1 A301 (Aula Javier Córdoba)",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
17,"Video Beam",1,0,Institucional,2,2021-11-16,1500000.00,7,26,2,3,1,"2025-02-10 S1 A108 (Aula Dubán Duque)",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
18,"Video Beam",1,0,Institucional,2,2021-11-16,1500000.00,7,15,2,1,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
19,Bafle,1,0,-,1,1990-01-01,0.00,6,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
20,Base,1,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
21,"Cabina Activa",1,0,-,1,1990-01-01,0.00,6,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
22,Cartelera,1,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
23,Cuadro,1,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
24,Escritorio,1,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
25,Silla,1,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
26,"Silla Universitaria",35,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
27,Tablero,2,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
28,"Video Beam",1,0,-,1,1990-01-01,0.00,7,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
29,Vitrina,1,0,-,1,1990-01-01,0.00,1,7,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
30,Bafle,1,0,-,1,1990-01-01,0.00,6,42,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
31,Cuadro,1,0,-,1,1990-01-01,0.00,1,42,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
32,Escritorio,1,0,-,1,1990-01-01,0.00,1,42,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
33,Pantalla,1,0,Institucional,2,1990-01-01,0.00,7,131,2,4,1,"S1 A108 (Aula Luis Abel Torres)",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
34,Silla,1,0,-,1,1990-01-01,0.00,1,42,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
35,"Silla Universitaria",38,0,-,1,1990-01-01,0.00,1,42,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
36,Tablero,2,0,-,1,1990-01-01,0.00,1,42,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
37,"Video Beam",1,0,Institucional,2,2021-11-16,1500000.00,7,42,2,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
38,Vitrina,1,0,"Donación Colanta",6,1990-01-01,0.00,1,42,1,2,1,"Vidrio Quebrado",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
39,Bafle,1,0,-,1,1990-01-01,0.00,6,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
41,"Cabina Activa",1,0,-,1,1990-01-01,0.00,6,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
42,Cuadro,1,0,-,1,1990-01-01,0.00,1,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
43,Escritorio,1,0,-,1,1990-01-01,0.00,1,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
44,Portátil,1,0,Institucional,2,1990-01-01,0.00,5,26,1,3,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
45,Silla,1,0,-,1,1990-01-01,0.00,1,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
46,"Silla Universitaria",37,0,-,1,1990-01-01,0.00,1,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
47,"Video Beam",1,0,-,1,1990-01-01,0.00,7,9,1,2,1,"Con Base",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
48,Estante,1,0,"Donación Colanta",6,1990-01-01,0.00,1,9,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
49,Asta,6,NULL,Institucional,2,1990-01-01,0.00,20,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
50,Asta,6,NULL,Institucional,2,1990-01-01,0.00,20,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
51,Bandera,6,NULL,Institucional,2,1990-01-01,0.00,20,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
52,Bastón,7,NULL,Municipal,3,1990-01-01,0.00,4,10,1,2,1,"Pendiente Por Revisar Total. 2023-04-17",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
53,Bombo,3,0,Municipal,3,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
54,Bombo,1,NULL,Municipal,3,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
55,Campana,1,0,Institucional,2,2022-11-09,170000.00,4,10,1,1,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
56,Pendón,1,0,Institucional,2,1990-01-01,0.00,1,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
57,Congas,2,0,Institucional,2,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
58,Congas,1,NULL,Institucional,2,1990-01-01,0.00,4,131,1,4,3,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
59,Cornetas,3,NULL,Municipal,3,1990-01-01,0.00,4,10,1,2,1,"2 Sin Boquillas. Pendiente De Revisar Cantidad 2023-04-17",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
60,Escritorio,1,NULL,Institucional,2,1990-01-01,0.00,4,10,1,3,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
61,Escudo,6,NULL,Municipal,3,1990-01-01,0.00,20,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
62,Estante,6,0,Institucional,2,1990-01-01,0.00,1,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
63,Güiro,1,NULL,Institucional,2,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
64,Lira,6,0,Municipal,3,1990-01-01,0.00,4,10,1,2,1,"1 Pequeña Mala",,"2026-06-11 11:20:58","2026-06-11 11:20:58"
65,Lira,2,NULL,Municipal,3,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
66,Multitenor,1,NULL,Institucional,2,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
67,Platillo,4,0,Municipal,3,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
68,Redoblante,5,0,Municipal,3,1990-01-01,0.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
69,Redoblante,1,NULL,Municipal,3,2023-06-14,588000.00,4,10,1,2,1,,,"2026-06-11 11:20:58","2026-06-11 11:20:58"
