id,app_id,role_id,created_at,updated_at
1,1,1,"2026-06-11 11:29:54","2026-06-11 11:29:54"
2,2,1,"2026-06-11 11:29:54","2026-06-11 11:29:54"
3,3,1,"2026-06-11 11:29:54","2026-06-11 11:29:54"
4,1,2,"2026-06-11 11:29:54","2026-06-11 11:29:54"
5,2,2,"2026-06-11 11:29:54","2026-06-11 11:29:54"
6,3,2,"2026-06-11 11:29:54","2026-06-11 11:29:54"
7,1,3,"2026-06-11 11:29:54","2026-06-11 11:29:54"
8,2,3,"2026-06-11 11:29:54","2026-06-11 11:29:54"
9,2,4,"2026-06-11 11:29:54","2026-06-11 11:29:54"
10,2,5,"2026-06-11 11:29:54","2026-06-11 11:29:54"
11,12,1,"2026-06-13 10:33:04","2026-06-13 10:33:04"
