id,role_id,permission_id,created_at,updated_at
1,1,51,,
2,1,69,,
3,1,74,,
4,1,38,,
5,1,60,,
6,1,71,,
7,1,49,,
8,1,42,,
9,1,46,,
10,1,30,,
11,1,2,,
12,1,66,,
13,1,10,,
14,1,14,,
15,1,22,,
16,1,34,,
17,1,26,,
18,1,62,,
19,1,57,,
20,1,18,,
21,1,53,,
22,1,44,,
23,1,50,,
24,1,31,,
25,1,3,,
26,1,75,,
27,1,67,,
28,1,11,,
29,1,15,,
30,1,23,,
31,1,35,,
32,1,45,,
33,1,27,,
34,1,63,,
35,1,39,,
36,1,58,,
37,1,19,,
38,1,54,,
39,1,32,,
40,1,4,,
41,1,76,,
42,1,68,,
43,1,12,,
44,1,16,,
45,1,24,,
46,1,36,,
47,1,28,,
48,1,64,,
49,1,59,,
50,1,20,,
51,1,55,,
52,1,8,,
53,1,48,,
54,1,40,,
55,1,77,,
56,1,47,,
57,1,29,,
58,1,1,,
59,1,73,,
60,1,7,,
61,1,65,,
62,1,9,,
63,1,13,,
64,1,21,,
65,1,6,,
66,1,5,,
67,1,70,,
68,1,41,,
69,1,72,,
70,1,33,,
71,1,43,,
72,1,25,,
73,1,61,,
74,1,37,,
75,1,56,,
76,1,17,,
77,1,52,,
79,2,69,,
80,2,74,,
81,2,38,,
83,2,71,,
84,2,49,,
85,2,42,,
86,2,46,,
87,2,30,,
89,2,66,,
90,2,10,,
91,2,14,,
92,2,22,,
93,2,34,,
94,2,26,,
97,2,18,,
98,2,53,,
99,2,44,,
100,2,50,,
101,2,31,,
103,2,75,,
104,2,67,,
105,2,11,,
106,2,15,,
107,2,23,,
108,2,35,,
109,2,45,,
110,2,27,,
112,2,39,,
114,2,19,,
115,2,54,,
116,2,32,,
118,2,76,,
119,2,68,,
120,2,12,,
121,2,16,,
122,2,24,,
123,2,36,,
124,2,28,,
127,2,20,,
128,2,55,,
129,2,8,,
130,2,48,,
131,2,40,,
132,2,77,,
133,2,47,,
134,2,29,,
136,2,73,,
137,2,7,,
138,2,65,,
139,2,9,,
140,2,13,,
141,2,21,,
142,2,6,,
143,2,5,,
144,2,70,,
145,2,41,,
146,2,72,,
147,2,33,,
148,2,43,,
149,2,25,,
151,2,37,,
153,2,17,,
154,2,52,,
155,3,65,,
156,3,66,,
157,3,67,,
158,3,68,,
159,3,69,,
160,3,70,,
161,3,71,,
162,3,72,,
163,5,65,,
164,5,66,,
165,5,67,,
166,5,68,,
167,5,69,,
168,5,70,,
169,5,71,,
170,5,72,,
171,4,65,,
172,4,66,,
173,4,67,,
174,4,68,,
175,4,69,,
176,4,70,,
177,4,71,,
178,4,72,,
180,1,79,,
181,1,80,,
182,1,81,,
183,1,82,,
184,1,83,,
