id,nombre,slug,descripcion,categoria,created_at,updated_at
1,"ver apps",ver-apps,"Permite acceder al panel de administración de aplicaciones.",apps,"2026-06-11 10:04:24","2026-06-11 10:04:24"
2,"crear apps",crear-apps,"Permite registrar una nueva aplicación en el catálogo.",apps,"2026-06-11 10:04:24","2026-06-11 10:04:24"
3,"editar apps",editar-apps,"Permite modificar los datos de una aplicación existente.",apps,"2026-06-11 10:04:24","2026-06-11 10:04:24"
4,"eliminar apps",eliminar-apps,"Permite eliminar una aplicación del catálogo de forma permanente.",apps,"2026-06-11 10:04:24","2026-06-11 10:04:24"
5,"ver grupos",ver-grupos,"Permite acceder a la sección de administración de grupos académicos.",grupos,"2026-06-11 10:04:24","2026-06-11 10:04:24"
6,"ver evaluación docente",ver-evaluacion-docente,"Permite acceder a la sección de evaluación docente.",evaluacion-docente,"2026-06-11 10:04:24","2026-06-11 10:04:24"
7,"ver biblioteca",ver-biblioteca,"Permite acceder a la sección de biblioteca.",biblioteca,"2026-06-11 10:04:24","2026-06-11 10:04:24"
8,"gestionar historial eliminaciones bienes",gestionar-historial-eliminaciones-bienes,"Permite ver y gestionar las solicitudes de eliminación de bienes pendientes de aprobación.","aprobaciones pendientes","2026-06-11 10:04:24","2026-06-11 10:04:24"
9,"Ver Categorías",ver-categorias,"Ver catálogo de categorías",catalogos,,
10,"Crear Categorías",crear-categorias,"Crear nuevas categorías",catalogos,,
11,"Editar Categorías",editar-categorias,"Editar categorías existentes",catalogos,,
12,"Eliminar Categorías",eliminar-categorias,"Eliminar categorías del sistema",catalogos,,
13,"Ver Dependencias",ver-dependencias,"Ver catálogo de dependencias",catalogos,,
14,"Crear Dependencias",crear-dependencias,"Crear nuevas dependencias",catalogos,,
15,"Editar Dependencias",editar-dependencias,"Editar dependencias existentes",catalogos,,
16,"Eliminar Dependencias",eliminar-dependencias,"Eliminar dependencias del sistema",catalogos,,
17,"Ver Ubicaciones",ver-ubicaciones,"Ver catálogo de ubicaciones",catalogos,,
